@RELATION svm5Classes
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {positive,neutral,negative}

@DATA
0.134251,0.021510,2.947872,0.221304,0.228440,0.700559,0.015594,0.195903,-26.028893,3.008596,0.164194,-0.201887,-0.297757,0.317703,0.261951,-0.057043,0.024671,0.002887,-0.036542,0.148143,0.000552,0.021765,0.007848,0.037903,0.015683,0.035394,0.012004,0.025268,0.007189,0.010019,0.013911,0.014392,0.005487,0.022843,0.108122,0.022996,0.369793,0.108039,0.048865,0.722934,0.008500,0.226819,2.211202,0.890969,0.599926,0.459036,0.459366,0.339690,0.230790,0.303007,0.230119,0.204643,0.205677,0.173170,0.162240,0.025193,0.014139,0.030355,0.016742,0.032201,0.013188,0.020096,0.014753,0.015012,0.020664,0.016790,0.007338,0.010525,positive
0.149258,0.019565,3.029203,0.246188,0.234296,0.917135,0.011682,0.293232,-25.375877,2.137016,-0.467577,0.282429,-0.581800,0.194385,0.194536,-0.089422,0.039025,0.011729,-0.083885,-0.162405,-0.132102,0.016141,0.008712,0.022322,0.013077,0.033271,0.010116,0.017830,0.003567,0.012511,0.014661,0.018889,0.006949,0.021631,0.085954,0.019146,0.253568,0.104919,0.052766,0.502608,0.007390,0.229172,1.832285,0.950310,0.647808,0.378824,0.378602,0.366669,0.393951,0.227009,0.180131,0.235180,0.217835,0.230847,0.239832,0.024974,0.013811,0.030284,0.014379,0.025476,0.013212,0.017245,0.003009,0.019947,0.021825,0.019931,0.008673,0.009969,positive
0.162404,0.009670,3.011386,0.258673,0.245241,0.983887,0.008797,0.258036,-27.793687,2.713309,-0.001568,0.299718,-0.233311,0.188508,0.180517,0.044415,0.115819,0.021951,0.054432,0.032738,0.086544,0.010286,0.004823,0.046817,0.024708,0.047955,0.006609,0.019373,0.003741,0.005648,0.010857,0.017428,0.004186,0.021486,0.137648,0.010950,0.317140,0.119667,0.035877,0.718424,0.006021,0.226643,2.975014,0.883516,0.683383,0.271544,0.384088,0.218668,0.269737,0.224245,0.260651,0.200279,0.243786,0.222833,0.161693,0.011565,0.006229,0.041403,0.024255,0.026135,0.005879,0.016457,0.006477,0.006606,0.008998,0.014581,0.005149,0.011535,positive
0.157509,0.026605,2.935043,0.254501,0.254790,0.704487,0.011719,0.179750,-25.743147,3.412053,-0.310598,0.051970,-0.105539,0.176612,0.143660,0.030993,-0.010982,0.043247,-0.007688,-0.003379,0.113750,0.013019,0.007712,0.027919,0.025062,0.054023,0.021128,0.027093,0.002290,0.005864,0.013051,0.012390,0.005470,0.023204,0.117197,0.023820,0.318333,0.112126,0.029774,0.551369,0.005920,0.173148,2.379444,0.828160,0.767540,0.396024,0.546241,0.313295,0.361225,0.277849,0.204419,0.244401,0.253938,0.217058,0.197822,0.016404,0.010933,0.031469,0.018821,0.035599,0.028674,0.022934,0.003220,0.007780,0.012923,0.009548,0.007240,0.010088,positive
0.102159,0.032193,3.079695,0.186272,0.194364,0.678571,0.017225,0.170063,-25.656742,2.880899,-0.522566,-0.149905,0.022653,0.173511,0.113008,-0.159000,-0.061267,-0.074497,-0.123931,0.049612,-0.155045,0.025653,0.002869,0.015658,0.009060,0.013666,0.028569,0.031233,0.003160,0.006611,0.019030,0.037927,0.005484,0.025181,0.092735,0.027047,0.300535,0.097158,0.040778,0.611693,0.010454,0.156244,3.027009,1.019568,0.769075,0.485478,0.408411,0.353118,0.287014,0.368760,0.286399,0.275152,0.212759,0.252403,0.247551,0.039268,0.003741,0.015738,0.009699,0.018885,0.030417,0.029408,0.005188,0.009088,0.017162,0.033968,0.006272,0.011411,positive
0.100353,0.033010,3.017358,0.203886,0.230380,0.563148,0.010725,0.139598,-25.693549,3.222914,0.253783,0.298549,-0.108488,0.107039,0.125863,0.065439,0.124450,0.052296,0.034412,-0.008875,0.047590,0.022216,0.010631,0.074852,0.015473,0.037407,0.005100,0.018650,0.000944,0.009680,0.017536,0.023617,0.003713,0.027371,0.085598,0.028888,0.267751,0.097050,0.036339,0.490847,0.006522,0.175523,2.126953,0.688021,0.634849,0.448108,0.426718,0.260178,0.309245,0.250295,0.210158,0.165561,0.180713,0.228255,0.166174,0.021152,0.019600,0.036832,0.017826,0.023761,0.005439,0.012452,0.001089,0.009746,0.020067,0.018523,0.003389,0.008938,positive
0.127847,0.025917,2.823926,0.223312,0.228947,0.604935,0.015475,0.178250,-25.051415,3.040300,0.266109,-0.279987,-0.328806,0.347134,0.076850,0.268878,0.076038,0.080269,0.000710,-0.062854,-0.057044,0.014201,0.009189,0.035735,0.010274,0.040353,0.014028,0.030318,0.001960,0.003737,0.009038,0.012229,0.017330,0.021834,0.131441,0.025651,0.557960,0.138745,0.036397,0.777356,0.007423,0.266167,2.025598,0.829350,0.530016,0.500122,0.358825,0.391068,0.257569,0.228171,0.237330,0.267313,0.196375,0.182850,0.139731,0.011159,0.013495,0.036594,0.009216,0.036801,0.013737,0.034156,0.002937,0.004254,0.009286,0.011991,0.030396,0.009912,positive
0.132455,0.026491,3.108484,0.248343,0.250807,1.073990,0.007250,0.191369,-27.825129,1.943196,-0.294016,-0.069604,-0.362811,0.385890,0.040238,-0.124545,0.108714,0.012129,-0.205201,-0.013370,-0.172076,0.032906,0.008148,0.020738,0.009546,0.030082,0.009491,0.027889,0.007371,0.005262,0.014761,0.026566,0.008889,0.020054,0.049648,0.033063,0.189073,0.036863,0.014689,0.422600,0.003507,0.115051,3.423248,0.419774,0.393010,0.300401,0.322946,0.261569,0.278666,0.187513,0.254174,0.247999,0.303368,0.296720,0.320591,0.037086,0.011701,0.012101,0.009818,0.022572,0.012266,0.025749,0.008800,0.005395,0.014180,0.019922,0.009445,0.007146,positive
0.191270,0.026839,3.081245,0.281610,0.237715,1.441269,0.009218,0.318531,-24.152128,1.006235,-0.777566,-0.078741,-0.160588,0.140739,0.082348,0.019600,-0.164847,0.076173,-0.296515,-0.136726,-0.244174,0.024437,0.007763,0.016014,0.019799,0.010746,0.011944,0.012645,0.004696,0.011369,0.008491,0.012334,0.007237,0.015512,0.106686,0.025277,0.210675,0.095880,0.039207,0.662822,0.004639,0.238762,1.668651,0.698447,0.577709,0.449399,0.434015,0.354815,0.274110,0.263420,0.230669,0.292032,0.196875,0.283933,0.238824,0.027108,0.008854,0.011602,0.027546,0.013990,0.019539,0.014757,0.003303,0.013841,0.008918,0.008713,0.008551,0.006806,positive
0.170394,0.015313,2.892999,0.282523,0.260835,1.013284,0.009523,0.268028,-28.411409,2.510075,0.192179,-0.058209,-0.293620,0.150408,0.160424,0.142610,0.207595,0.143678,0.093832,0.073015,0.053142,0.011264,0.007222,0.024351,0.010696,0.050126,0.010715,0.032038,0.001872,0.006799,0.013792,0.022473,0.007778,0.019902,0.107027,0.015368,0.410148,0.090169,0.021366,0.625545,0.004193,0.230296,1.855586,0.851032,0.622027,0.283946,0.354525,0.218633,0.230389,0.227851,0.205257,0.206302,0.160439,0.171447,0.168997,0.011804,0.008594,0.024426,0.013055,0.026569,0.012813,0.020425,0.002509,0.007771,0.009197,0.013304,0.007954,0.008801,positive
