Id,URL,Title,Audio,Captions,Polarity,Pickle
1,https://www.youtube.com/watch?v=zkpelP3x0mw,Westley Allan Dodd - Last Interview before Execution,audio/1.wav,subtitles/1.srt,polarity_csv/polarity_1.csv,pickle_lists/polarity_1.p
2,https://www.youtube.com/watch?v=w3SXzjAfJLk,Confronts Serial Killer & Causes Him To Walk Out Of The Interview!,audio/2.wav,subtitles/2.srt,polarity_csv/polarity_2.csv,pickle_lists/polarity_2.p
3,https://www.youtube.com/watch?v=QV9nArq7phA,Travis Scott Shows Off His Broadway Musical Abilities,audio/3.wav,subtitles/3.srt,polarity_csv/polarity_3.csv,pickle_lists/polarity_3.p
4,https://www.youtube.com/watch?v=OtgLfXqBt1o,Highlights from Theresa May's LBC phone-in,audio/4.wav,subtitles/4.srt,polarity_csv/polarity_4.csv,pickle_listspolarity_4.p
5,https://www.youtube.com/watch?v=FQ6PR2LsnZw,ISRAEL POLITICS: Interview with Seth Frantzman,audio/5.wav,subtitles/5.srt,polarity_csv/polarity_5.csv,pickle_lists/polarity_5.p
6,https://www.youtube.com/watch?v=iY6dw9dEqfo,Joey Bada$$ Talks Style, Activism, and Crystals,audio/6.wav,subtitles/6.srt,polarity_csv/polarity_6.csv,pickle_lists/polarity_6.p
7,https://www.youtube.com/watch?v=2-Q5gHGhCVI,"Under-12s can clear the ball with either foot!" Gerrard puts slams Rangers' defending in defeat,audio/7.wav,subtitles/7.srt,polarity_csv/polarity_7.csv,pickle_lists/polarity_7.p
8,https://www.youtube.com/watch?v=kq7OLZGDwDk,	Kobe Bryant on the Mamba Mentality,audio/8.wav,,subtitles/8.srt,polarity_csv/polarity_8.csv,pickle_lists/polarity_8.p
9,https://www.youtube.com/watch?v=T_-3Vbr625g,Things Michelle Obama Couldn’t Say as First Lady,audio/9.wav,subtitles/9.srt,polarity_csv/polarity_9.csv,pickle_lists/polarity_9.p
10,https://www.youtube.com/watch?v=CvJc1COU9Hk,Sacha Baron Cohen Tried to Get a Confession from O.J. Simpson,audio/10.wav,subtitles/10.srt,polarity_csv/polarity_10.csv,pickle_lists/polarity_10.p
11,https://www.youtube.com/watch?v=2CSc7Kn-AOY	,College Interview Advice from Harvard Student,audio/11.wav,subtitles/11.srt,polarity_csv/polarity_11.csv,pickle_lists/polarity_11.p
12,https://www.youtube.com/watch?v=55y_6IKFvCI	,Oxford University MBA - Student Interview: Jürgen Heeg	,audio/12.wav,subtitles/12.srt,polarity_csv/polarity_12.csv,pickle_lists/polarity_12.p
13,https://www.youtube.com/watch?v=yybFJ5WkCDo	,Tips for a successful interview - applying for a healthcare course at Birmingham City University,audio/13.wav,subtitles/13.srt,polarity_csv/polarity_13.csv,pickle_lists/polarity_13.p
14,https://www.youtube.com/watch?v=RByqcW0ewnk	,Interviewing at the University of Rochester	,audio/14.wav,subtitles/14.srt,polarity_csv/polarity_14.csv,pickle_lists/polarity_14.p
15,https://www.youtube.com/watch?v=frYVBZCAnWk	,Study Social Work at Canterbury Christ Church University - Student Interview,audio/15.wav,subtitles/15.srt,polarity_csv/polarity_15.csv,pickle_lists/polarity_15.p
16,https://www.youtube.com/watch?v=Icq60Uxd3As	,Obama on the goal of his foreign policy	,audio/16.wav,subtitles/16.srt,polarity_csv/polarity_16.csv,pickle_lists/polarity_16.p
